Date,Description,Amount,Category,Type
2024-01-01,Monthly Salary,5000.00,Income,Credit
2024-01-02,Rent Payment,1500.00,Housing,Debit
2024-01-03,Grocery Shopping,245.50,Food,Debit
2024-01-04,Electric Bill,82.30,Utilities,Debit
2024-01-05,Internet Service,65.00,Utilities,Debit
2024-01-06,Restaurant Dinner,78.40,Food,Debit
2024-01-08,Gas Station,52.00,Transportation,Debit
2024-01-10,Freelance Project,750.00,Income,Credit
2024-01-12,Netflix Subscription,15.99,Entertainment,Debit
2024-01-13,Spotify Premium,9.99,Entertainment,Debit
2024-01-15,Gym Membership,45.00,Health,Debit
2024-01-17,Coffee Shop,12.50,Food,Debit
2024-01-18,Pharmacy,28.75,Health,Debit
2024-01-20,Shopping Mall,156.80,Shopping,Debit
2024-01-22,Car Insurance,125.00,Transportation,Debit
2024-01-24,Grocery Shopping,198.25,Food,Debit
2024-01-25,Restaurant Lunch,42.30,Food,Debit
2024-01-26,Water Bill,35.00,Utilities,Debit
2024-01-28,Online Course,99.00,Education,Debit
2024-01-30,Investment Income,200.00,Income,Credit
2024-02-01,Monthly Salary,5000.00,Income,Credit
2024-02-02,Rent Payment,1500.00,Housing,Debit
2024-02-03,Grocery Shopping,212.40,Food,Debit
2024-02-05,Electric Bill,88.50,Utilities,Debit
2024-02-06,Gas Station,48.00,Transportation,Debit
2024-02-08,Restaurant Dinner,92.60,Food,Debit
2024-02-10,Freelance Project,650.00,Income,Credit
2024-02-12,Phone Bill,55.00,Utilities,Debit
2024-02-14,Valentine's Day,125.00,Entertainment,Debit
2024-02-15,Gym Membership,45.00,Health,Debit
2024-02-17,Coffee Shop,18.75,Food,Debit
2024-02-19,Grocery Shopping,185.30,Food,Debit
2024-02-20,Car Maintenance,320.00,Transportation,Debit
2024-02-22,Shopping Mall,98.50,Shopping,Debit
2024-02-24,Restaurant Lunch,36.80,Food,Debit
2024-02-26,Book Purchase,24.99,Education,Debit
2024-02-28,Investment Income,175.00,Income,Credit
